,Name,Date,Developer,Publisher,Genre,Price,Langs,DLC,Mature,Single,Score
5118,Genesis Noir,"26 Mar, 2021",Feral Cat Den,Fellow Traveller,['Adventure'],55.95,"['English', 'French', 'German', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Italian', 'Korean', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']",1,0,1.0,0.7815025303085442
5119,Voice of Cards: The Isle Dragon Roars,"28 Oct, 2021",Square Enix,Square Enix,"['RPG', 'Strategy']",100.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese']",1,0,1.0,0.7800077424011714
5120,Still Life,"6 Jun, 2005",Microids,Microids,['Adventure'],29.5,"['English', 'French', 'German', 'Spanish - Spain']",0,0,1.0,0.7833179390997397
5121,Castlevania Anniversary Collection,"16 May, 2019",Konami Digital Entertainment,Konami Digital Entertainment,"['Action', 'Adventure', 'Racing', 'RPG', 'Simulation', 'Sports']",73.95,"['English', 'Japanese']",0,0,1.0,0.7853927696373331
5122,The Political Machine 2020,"3 Mar, 2020",Stardock Entertainment,Stardock Entertainment,"['Indie', 'Simulation', 'Strategy']",55.95,['English'],1,0,1.0,0.7799364777127561
5123,Stigmatized Property | 事故物件,"25 Oct, 2019",Chilla's Art,Chilla's Art,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",10.95,"['English', 'Japanese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Vietnamese']",0,1,1.0,0.7775537614606821
5124,LEGO® Indiana Jones™ 2: The Adventure Continues,"18 Feb, 2010",Traveller's Tales,LucasArts,['Adventure'],73.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",0,0,1.0,0.7846599117434963
5125,Rustler (Grand Theft Horse),"18 Feb, 2021",Jutsu Games,Games Operators,"['Action', 'Adventure', 'Indie', 'Racing', 'RPG']",92.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Russian', 'Portuguese - Brazil', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",1,1,1.0,0.7728112919801715
5126,Computer Tycoon,"12 Oct, 2017",Progorion,Progorion,"['Indie', 'Simulation', 'Strategy', 'Early Access']",73.95,['English'],0,0,1.0,0.7830334671211174
5127,Lines X,"31 Oct, 2017",Konstructors,Hook Games,"['Casual', 'Indie', 'Strategy']",3.5,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian']",0,0,1.0,0.7764421772415372
