,Name,Date,Developer,Publisher,Genre,Price,Langs,DLC,Mature,Single,Total Review Cnt,Pos Review Cnt,Neg Review Cnt,Score
47,Monster Prom 2: Monster Camp,"23 Oct, 2020",Beautiful Glitch,Beautiful Glitch,"['Indie', 'Simulation']",43.95,['English'],1.0,1.0,1.0,4135.0,4052.0,83.0,0.9408004650315877
48,Far Away,"17 Aug, 2021",Gratesca,Thermite Games,"['Adventure', 'Casual', 'Indie', 'RPG']",36.95,"['English', 'Simplified Chinese']",1.0,0.0,1.0,3616.0,3568.0,48.0,0.9454100118001657
49,Cube Escape Collection,"14 Oct, 2020",Rusty Lake,Rusty Lake,"['Adventure', 'Indie']",18.5,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Traditional Chinese', 'Simplified Chinese', 'Danish', 'Japanese', 'Korean', 'Dutch', 'Polish', 'Russian', 'Czech', 'Turkish', 'Vietnamese', 'Swedish', 'Portuguese', 'Spanish - Latin America']",0.0,0.0,1.0,3404.0,3356.0,48.0,0.9438966732651275
50,Bug Fables: The Everlasting Sapling,"21 Nov, 2019",Moonsprout Games,DANGEN Entertainment,"['Action', 'Adventure', 'Indie', 'RPG']",73.95,"['English', 'Spanish - Latin America', 'Japanese', 'Portuguese - Brazil']",1.0,0.0,1.0,3228.0,3168.0,60.0,0.9391279884457591
51,Aokana - Four Rhythms Across the Blue,"27 Sep, 2019",sprite,NekoNyan Ltd.,"['Adventure', 'Casual']",131.95,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",1.0,1.0,1.0,2917.0,2870.0,47.0,0.9400698288039909
52,Riddle Joker,"18 Dec, 2020",YUZUSOFT,NekoNyan Ltd.,"['Adventure', 'Casual']",131.95,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",0.0,1.0,1.0,2616.0,2587.0,29.0,0.9431664518204769
53,Epic Battle Fantasy 4,"25 Feb, 2014",Matt Roszak,Matt Roszak,"['Adventure', 'RPG']",43.95,"['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil']",1.0,0.0,1.0,2731.0,2640.0,91.0,0.923573205072416
54,TY the Tasmanian Tiger,"12 Dec, 2016",Krome Studios,Krome Studios,"['Action', 'Adventure', 'Indie']",55.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",1.0,0.0,1.0,2223.0,2184.0,39.0,0.9350461497770329
55,Master Of Pottery,"11 Nov, 2019",AZGames,AZGames,"['Casual', 'Indie', 'Simulation', 'Early Access']",21.95,"['English', 'Simplified Chinese', 'Japanese', 'Italian']",1.0,0.0,1.0,1978.0,1938.0,40.0,0.9309448390755325
56,SUPER CHICKEN JUMPER,"24 Sep, 2021",Sewer Cat,Sewer Cat,"['Action', 'Adventure', 'Casual', 'Indie', 'Racing']",18.5,"['English', 'Portuguese - Brazil']",0.0,0.0,1.0,1906.0,1870.0,36.0,0.9315943466890821
